%DataLog%
DataLogVersion : 1.1
Software : Haltech NSP
SoftwareVersion : 999.999.999.999
DownloadDateTime : 19800101 01:02:00
Channel : RPM
ID : 384
Type : EngineSpeed
DisplayMaxMin : 20000,0
Channel : Manifold Pressure
ID : 224
Type : Pressure
DisplayMaxMin : 6013,13
Channel : Throttle Position
ID : 225
Type : Percentage
DisplayMaxMin : 1000,0
Channel : Coolant Temperature
ID : 229
Type : Temperature
DisplayMaxMin : 4731,2331
Channel : Intake Air Temperature
ID : 228
Type : Temperature
DisplayMaxMin : 4731,2331
Channel : Wideband O2 1
ID : 230
Type : AFR
DisplayMaxMin : 1361,-110
Channel : Target Lambda
ID : 132
Type : AFR
DisplayMaxMin : 1361,476
Channel : Ignition Angle
ID : 518
Type : Angle
DisplayMaxMin : 600,-600
Channel : Oil Pressure
ID : 236
Type : Pressure
DisplayMaxMin : 31013,1013
Channel : Battery Voltage
ID : 258
Type : BatteryVoltage
DisplayMaxMin : 18000,6500
Log Source : 8
Log Number : 9013
Log : 19800101 01:01:01
01:01:01.005,910,332,0,3581,3082,996,1000,98,1481,13978
01:01:01.055,900,334,0,3582,3082,1004,1000,99,1511,14018
01:01:01.105,908,325,0,3582,3083,1000,1000,102,1501,14031
01:01:01.155,910,329,0,3581,3082,1008,1000,103,1523,14005
01:01:01.205,900,334,0,3582,3082,1000,1000,97,1523,14037
01:01:01.255,890,330,0,3582,3082,1003,1000,100,1492,14030
01:01:01.305,897,331,0,3583,3083,1004,1000,101,1502,14005
01:01:01.355,910,333,0,3583,3083,998,1000,101,1502,13966
01:01:01.405,890,336,0,3582,3083,992,1000,100,1505,13998
01:01:01.455,904,327,0,3582,3084,1003,1000,100,1485,13956
01:01:01.505,890,330,0,3582,3083,1007,1000,99,1495,13991
01:01:01.555,886,325,0,3583,3084,1001,1000,98,1490,14026
01:01:01.605,893,330,0,3583,3085,1005,1000,102,1501,14039
01:01:01.655,889,325,0,3582,3084,1003,1000,101,1503,13974
01:01:01.705,888,334,0,3584,3086,995,1000,98,1488,14015
01:01:01.755,897,331,0,3583,3085,1009,1000,100,1490,13990
01:01:01.805,888,328,0,3584,3085,1003,1000,102,1507,14018
01:01:01.855,895,332,0,3583,3085,1001,1000,97,1527,14030
01:01:01.905,904,334,0,3583,3086,1002,1000,103,1504,14035
01:01:01.955,887,333,0,3584,3087,1007,1000,102,1509,13979
01:01:02.005,889,329,0,3584,3087,991,1000,97,1514,13960
01:01:02.055,913,333,0,3584,3086,998,1000,99,1508,13959
01:01:02.105,902,333,0,3584,3087,996,1000,100,1474,13966
01:01:02.155,912,331,0,3585,3088,993,1000,100,1474,13990
