0.000,3990,178.130,53.500,92.400,0.936
0.050,6992,194.110,4.600,99.700,0.857
0.100,4919,53.350,78.700,80.500,0.776
0.150,4385,113.910,82.200,71.100,0.797
0.200,2601,60.000,39.100,97.900,0.914
0.250,5994,61.700,67.700,102.000,0.989
0.300,6774,172.550,95.700,70.400,1.012
0.350,1958,57.110,0.500,90.900,0.911
0.400,1497,97.030,74.800,101.600,0.853
0.450,4180,229.240,85.100,75.000,0.805
0.500,5853,213.640,19.400,76.300,0.990
0.550,1245,217.310,93.200,104.800,0.888
0.600,5302,46.090,67.200,78.800,0.809
0.650,5556,137.180,33.100,74.500,0.947
0.700,1619,92.730,7.000,76.800,0.896
0.750,3489,165.600,30.600,90.400,0.920
0.800,3785,207.690,95.900,75.900,0.844
0.850,2614,186.680,64.100,79.700,0.858
0.900,6367,191.250,87.800,86.200,0.858
0.950,3302,137.130,10.900,92.600,0.775
1.000,3098,218.920,14.000,88.900,0.829
1.050,5933,46.820,7.500,70.700,0.902
1.100,1055,208.780,57.900,96.900,0.814
1.150,1100,151.350,54.300,105.000,0.892
1.200,2017,110.480,22.300,97.000,0.970
1.250,3183,59.450,50.100,73.200,0.859
1.300,886,175.790,84.800,98.200,0.934
1.350,2158,196.590,14.000,75.600,0.920
1.400,5435,175.070,96.800,95.800,0.895
1.450,3739,38.890,76.100,78.100,0.829
1.500,2717,39.420,20.700,101.800,0.858
1.550,4647,231.940,88.200,71.400,0.945
1.600,1645,184.820,52.100,99.000,1.000
1.650,2957,157.300,57.000,83.200,0.864
1.700,5614,173.730,83.500,88.100,0.863
1.750,2625,143.600,35.300,100.400,0.896
1.800,4749,225.180,0.700,100.900,0.882
1.850,2684,46.960,64.300,77.400,0.806
1.900,3767,162.440,81.700,93.100,0.874
1.950,3505,188.460,48.200,86.800,0.813
2.000,2120,172.400,41.100,78.500,0.788
2.050,5652,65.450,63.000,71.400,0.922
2.100,1258,66.600,92.200,88.100,0.872
2.150,5417,170.280,87.900,95.500,0.996
2.200,1502,77.650,60.700,86.500,0.895
2.250,2597,212.680,60.100,97.800,0.996
2.300,2289,167.110,51.100,75.900,0.956
2.350,4514,161.240,6.900,83.200,0.790
2.400,935,74.520,86.000,87.700,0.876
2.450,2025,163.210,17.700,101.600,0.930
